id,Timestamp,Original statement,Actor,Restated,Date of publication,Source URL,Source name,Source type,Year,X,Y,Issue,filter,Opinion
194,1/13/2025 11:51:56,"Igen en store katastrofe uden at tænke sig om hvad de laver , hvorfor fanden bygger de ikke thorium kraftværker.",Facebook user,"once again, this is a major catastrophe caused by a lack of thought about what they are doing. why on earth are they not building thorium power plants instead?",12/9/2024,https://www.facebook.com/photo.php?fbid=1287433316004355&set=a.714469336634092&type=3,Facebook,Social media,2024,1516.397461,1459.373047,Is nuclear power an alternative to energy islands?,True,Negative
195,1/13/2025 12:01:13,bare det giver penge og arbejdspladser... JAMEN DET GIVER HVERKEN PENGE ELLER ARBEJDSPLADSER!!!!!,Facebook user,the claim that the project generates money and jobs is false. it does not create economic profit or provide employment opportunities as suggested.,11/6/2024,https://www.facebook.com/bornholmstidende/posts/-de-%C3%B8nsker-at-bornholm-skal-v%C3%A6re-en-energi-industri%C3%B8-og-de-er-helt-og-aldeles-li/1021975093272688/,Facebook,Social media,2024,-1805.215942,1456.705688,Who benefits socially and economically from energy islands? Is it fair?,True,Negative
196,1/13/2025 12:03:11,"The Thor Offshore Wind Farm contributed 2.8 billion to the state, but the conditions with higher interest rates have changed that. The government had expected to earn billions, but the developers refuse to pay. Additionally, the state wants 20% ownership of the farms. All these demands have ruined the tender process.

These are the conditions that the bidders have offered, and what they have to pay in seabed rent. The wind farm is set to be completed in 2027, and work on cabling and onshore construction is well underway. The turbines are being manufactured, as are the foundations.

Now that you mention it! Quote:
""Government subsidies for fossil fuels amounted to 7 trillion dollars globally in 2022, according to a new analysis from the IMF. The total global subsidies for oil, gas, and coal in 2022 were 7 trillion dollars, equivalent to seven percent of global GDP.""

So, the transition to renewable energy can't happen fast enough! ;)",Facebook user,"the thor offshore wind farm initially contributed 2.8 billion dkk to the danish state, but due to higher interest rates, the economic conditions have changed. while the government had anticipated earning billions from the project, developers are refusing to pay. furthermore, the state's demand for a 20% ownership stake has complicated and undermined the tender process. despite these challenges, the bidders have outlined their conditions, including seabed rent payments. the project is on track to be completed by 2027, with cabling, onshore construction, turbine production, and foundation manufacturing progressing as planned.

however, this situation highlights a broader issue: global subsidies for fossil fuels, which amounted to 7 trillion dollars in 2022, or 7% of global gdp, according to an imf analysis. this massive support for oil, gas, and coal underscores the urgent need for a faster transition to renewable energy. the shift to clean energy sources cannot happen quickly enough.",12/9/2024,https://www.facebook.com/groups/820666631776123/posts/2010448056131302/?comment_id=2010465402796234,Facebook,Social media,2024,802.491516,850.43988,How to finance the energy islands?,True,positive
197,1/13/2025 12:06:37,"Du tager helt fejl. Vi taler om Bornholm skal udnytte muligheder, som følge af Energiøen til at få et løft i et geografisk afgrænset område på Sydbornholm. Torben Westh Jensen ligger uden for berørt område, og er i politisk ærinde.",Facebook user,"the claim is incorrect. the discussion concerns bornholm leveraging opportunities arising from the energy island project to revitalize a specific, geographically confined area in south bornholm. the politician involved is not from the affected area and is acting based on a political agenda rather than local interests.",11/7/2024,https://www.facebook.com/bornholmstidende/posts/-de-%C3%B8nsker-at-bornholm-skal-v%C3%A6re-en-energi-industri%C3%B8-og-de-er-helt-og-aldeles-li/1021975093272688/,Facebook,Social media,2024,-3268.676758,-1132.843872,Negative consequences for the local community,True,neither
198,1/13/2025 12:44:22,"jeg har de sidste 15-16 måneder arbejdet på vestas på havnen og snakket med rigtig mange fra ""toppen"" allerede fra staten af det her vindmølleprojekt blev der sagt det ville give arbejdspladser.. jeg har ikke set en eneste bornholmer inden for vindmølle industrien. jo vagten på havnen.. men det er er det.. alt arbejde er ovre fra. ALT! veligeholds aftalen på møllerne ligger i tyskland så der er heller ingen bornholmere der for gavn af det.. vi har været 2 mand på havnen til og ""skrotte"" for vestas og det er det.. og alt det nye energiøs-fis ved vi jo vil generere et enormt underskud.. og strømmen kommer ikke bornholmerne til gode på nogen måde..",Facebook user,"the claim that the wind turbine project would create jobs for bornholmers is untrue. over the past 15–16 months of working at vestas on the harbor, i haven’t seen any bornholmers in the wind turbine industry, apart from one security guard. all the work is outsourced, with no local involvement. even the turbine maintenance agreement is based in germany, meaning no bornholmers benefit from that either. for the entire period, only two of us have worked at the harbor to scrap materials for vestas. regarding the energy island project, it is clear that it will generate a significant financial deficit, and the electricity produced will not benefit the people of bornholm in any way.",11/7/2024,https://www.facebook.com/bornholmstidende/posts/-de-%C3%B8nsker-at-bornholm-skal-v%C3%A6re-en-energi-industri%C3%B8-og-de-er-helt-og-aldeles-li/1021975093272688/,Facebook,Social media,2024,-2922.607422,-739.467957,Who benefits socially and economically from energy islands? Is it fair?,True,Negative
199,1/13/2025 12:47:21,"Som du ved har politikere en holdning til de har en anden. I dette tilfælde har de bare enormt svært ved at aflyse foretagendet og tabe ansigt, men de skal nok finde på en undskyldning for det.
----
For en tid siden var Regeringens undskyldning""nogle regler i EU der forhindrede det første havvindmølle projekt"" - Men EU havde ikke sådanne regler overhovedet.
----
Så hybrid regeringen finder nok på noget andet snart for at aflyse Energiø Bornholm som man gjorde med det ellers meget billigere Energiø Nordsøen.",Facebook user,"politicians tend to shift positions, and in this case, they are struggling to cancel the energy island bornholm project without losing face. however, it is likely they will eventually find an excuse to do so. previously, the government claimed that 'eu regulations' prevented the first offshore wind farm project, even though such regulations did not exist. the hybrid government will likely fabricate another justification soon to cancel energy island bornholm, as they did with the significantly cheaper energy island in the north sea.",11/7/2024,https://www.facebook.com/bornholmstidende/posts/-de-%C3%B8nsker-at-bornholm-skal-v%C3%A6re-en-energi-industri%C3%B8-og-de-er-helt-og-aldeles-li/1021975093272688/,Facebook,Social media,2024,-2574.256104,-1020.509949,Bureaucracy and regulation,True,negative
203,1/13/2025 13:00:59,Håber du kan se alle 10.000 i esbjerg der mister jobbet i øjnene hvis du kommer hjem på juleferie! Først minkerhvervet og nu dette!,Facebook user,"i hope you can look all 10,000 people in esbjerg who are losing their jobs directly in the eyes if you come home for christmas! first, the mink industry was destroyed, and now this!",12/4/2020,https://www.facebook.com/photo.php?fbid=2869349269973525&id=1396986243876509&set=a.1402413206667146&locale=,Facebook,Social media,2020,-836.671143,2694.94165,Negative consequences for the local community,True,negative
204,1/13/2025 13:02:09,"og sølle 50 mio. kr. fra en ""turistskat"" er nærmest ikke nok til at holde 0. klasse i gang. Bornholms skolevæsen koster en lille halv milliard (MILLIARD) årligt. Alene færgerne - som reelt ejes af Fam. Wallenberg i Sverige - modtager 1 mio. (MILLION) O M D A G E N. Bornholm er in deep shit. Strøm til (og fra) Bornholm) skal ind i det store europæiske GRID. Alternativet er, at man selv sørger for strøm til eget behov - enten fra et lille lokalt fælles kraftværk (diesel) - eller med hver sin generator (diesel). Lad os alle gå over til jævnstrøm... vil du i verden frem - så BROCK...",Facebook user,"the 50 million dkk expected from a 'tourist tax' is a negligible sum, insufficient even to sustain a single kindergarten class. bornholm’s school system requires nearly half a billion dkk annually. meanwhile, the ferries—which are effectively owned by sweden's wallenberg family—receive 1 million dkk per day in subsidies. bornholm is facing severe economic challenges. to address energy needs, bornholm must integrate its electricity into the european grid. the alternative would require local self-sufficiency through a small community power plant running on diesel or individual diesel generators. drastic changes, such as transitioning to direct current systems, may also be necessary for progress.",11/7/2024,https://www.facebook.com/bornholmstidende/posts/-de-%C3%B8nsker-at-bornholm-skal-v%C3%A6re-en-energi-industri%C3%B8-og-de-er-helt-og-aldeles-li/1021975093272688/,Facebook,Social media,2024,-2215.273438,-899.168335,Who benefits socially and economically from energy islands? Is it fair?,True,negative
205,1/13/2025 13:05:12,"Jeg forstår ikke rigtigt at der er så mange der er negativ om at olie eventyret for Esbjerg har en slut dato som er 30 år ud i fremtiden. Ja 3 x ti år ud i fremtiden. En skriver at nu bliver flere tusind arbejdsløs i Esbjerg??? Vi taler om nedlukning i året 2050!! Ikke nu!! Vi har jo alle vidst at olie eventyret har en begrænset levetid pga den grønne omstilling, og med hele 30 år til at slutte af syntes jeg personligt at det er fint.",Facebook user,"i don’t really understand why so many people are negative about the fact that esbjerg’s oil era now has an end date that is 30 years into the future—yes, three decades from now. someone is claiming that thousands of people in esbjerg will now become unemployed? we are talking about a phase-out in the year 2050, not now! we have all known that the oil era has a limited lifespan due to the green transition, and with a full 30 years to wind it down, i personally think this is reasonable.",12/4/2020,https://www.facebook.com/photo.php?fbid=2869349269973525&id=1396986243876509&set=a.1402413206667146&locale=,Facebook,Social media,2020,-764.867249,2656.937744,Who benefits socially and economically from energy islands? Is it fair?,True,positive
206,1/13/2025 13:07:04,"Enbart brok og ikke brugbare alternativer.
Borgerforeningen energiø Bornholm vil bygge eget vindmølle projekt, kystnært ved Nexø, hvad er forskellen?.
Ja så ment at de ikke har midlerne og dermed skal finde investorerne som mener det giver super god mening at investere imod de store energiselskaber.
Senest ses aktører fra selvsamme gruppe i bestyrelsen Beof stemme for at oprette datter selskab for investering af midlerne i det kommunalt ejet firma. I store landbaseret solcelleparker her på øen. Igen i direkte naiv tror på at kunne konkurrere med de store, måske man skulle spørge Bornholmerne om de er indforstået med det mulige tab.
Set i lyset af det kæmpe underskud som tvang Beof til at sælge el nettet her for at overleve, er det svært at forstå viljen og fornuften, det lokalt genereret underskud var på -842 millioner og en konkurs begæring under opsejling.
Så prøv nu at få hele billedet med, og tro på at vi med den Grønne aftale for meget mere natur på øen.",Facebook user,"the citizens' association energiø bornholm’s plan to build a nearshore wind turbine project at nexø lacks feasibility due to insufficient funds. they would need to secure investors willing to compete with major energy companies, which seems highly unlikely. members of this group, who also sit on the beof board, have recently voted to create a subsidiary to invest in large land-based solar parks on the island. this is yet another overly optimistic effort to compete with established players.  

given beof’s history—including a devastating deficit of -842 million dkk that nearly led to bankruptcy and forced the sale of the local power grid—it’s difficult to understand the rationale for these risky ventures. instead of pursuing such high-stakes projects, we should focus on the bigger picture and the opportunities offered by the green deal, which could enhance the island’s natural environment and sustainability.",11/7/2024,https://www.facebook.com/bornholmstidende/posts/-de-%C3%B8nsker-at-bornholm-skal-v%C3%A6re-en-energi-industri%C3%B8-og-de-er-helt-og-aldeles-li/1021975093272688/,Facebook,Social media,2024,-1348.396484,-571.814758,How to finance the energy islands?,True,negative
218,1/13/2025 14:34:04,"""Renewable energy is obviously a completely futureless scandal.""",Facebook user,renewable energy is obviously a completely futureless scandal.,12/9/2024,https://www.facebook.com/groups/820666631776123/posts/2010448056131302/?comment_id=2010465402796234,Facebook,Social media,2024,1406.22583,1684.130981,None,True,Negative
220,1/13/2025 14:37:29,"""As far as I know, it’s not even finished, so it’s impressive that it has already contributed. Then it’s probably a bit incorrect to write that it contributed 2.8 billion, or has the payment already started?""",Facebook user,"as far as i know, it’s not even finished, so it’s impressive that it has already contributed. then it’s probably a bit incorrect to write that it contributed 2.8 billion, or has the payment already started?",12/9/2024,https://www.facebook.com/groups/820666631776123/posts/2010448056131302/?comment_id=2010465402796234,Facebook,Social media,2024,-1608.174561,1538.351807,None,True,neither
534,1/13/2025 15:34:30,"Hvornår stopper vanviddet?
Energiø Bornholm

    Skal stå klar i 2030.
    Placeres cirka 15 kilometer syd for Bornholm og skal i første omgang levere strøm til Tyskland og Sjælland.
    Får kapacitet til at producere minimum 3 gigawatt strøm.
    Det svarer til 3,3 millioner danske hustandes årlige forbrug.
    Forløbige beregninger viser, at der er brug for 31,5 mia. kroner i statsstøtte.
    Forligskredsen bag Energiøen har tidligere givet hinanden håndslag på halvdelen af det beløb - 17,6 mia. kr.",Other,"when will the madness stop? energy island bornholm, planned for 2030, will need 31.5 billion kroner in state support, though only 17.6 billion has been agreed.",12/9/2024,https://www.facebook.com/search/top/?q=energi%C3%B8%20bornholm,Facebook,Social media,2024,-2243.173096,-979.151917,How to finance the energy islands?,True,negative
535,1/13/2025 15:39:07,"Det skal være slut med fantasiprojekter i klimaets navn. Der skal være respekt om skatteydernes penge – også når det handler om klimapolitik! 
Derfor forlader Dansk Folkeparti aftalen om Energiø Bornholm, som energistyrelsen siger, kan komme til at koste over 30 milliarder kr. Og vel at mærke et projekt, hvor to tredjedele af strømmen skal gå til Tyskland. Det giver ingen mening. Det er respektløst overfor skatteyderne.
Og det er udtryk for en ekstrem klimapolitik, der helt har forladt den virkelighed, som vi andre lever. Eksperterne siger det – og jeg kan kun opfordre de andre partier til at følge trop. 
Blot fordi man kan kalde noget grønt, er det ikke altid sundt fornuft. Se mere nedenfor 👇",Other,"fantasies in the name of climate must end. dansk folkeparti is leaving the energy island agreement, which could cost over 30 billion kroner, with two-thirds of the power going to germany. this is disrespectful to taxpayers and reflects extreme climate politics disconnected from reality.",5/23/2024,https://www.facebook.com/MortenMesserschmidt/posts/pfbid0ij3WaT43PAd2dHCXBzXPoYPW2bay3P2uBRwmaNRoskQyZ9cbvw6hvuR82zr9cJKdl?rdid=z2AcJgbQUTL0I7dF,Facebook,Social media,2024,-1236.718994,-312.398346,Who benefits socially and economically from energy islands? Is it fair?,True,Negative
536,1/13/2025 15:41:39,"Takket være Bornholms Tidende har vi ytringsfrihed på Bornholm men ikke i resten af Danmark.
Landsdækkende aviser nægter at skrive noget negativt om energi ø Bornholm. De er købt og betalt af energi branchen.
Danmark udsulter, udnytter og undertrykker Bornholm !",Other,"thanks to bornholms tidende, we have freedom of speech in bornholm, but not in the rest of denmark. national newspapers refuse to write anything negative about energy island bornholm. they are bought and paid for by the energy industry. denmark is exploiting and suppressing bornholm!",12/29/2024,https://www.facebook.com/groups/396102112643961/permalink/903266341927533/?rdid=ZpneDMbGhx331vX5&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2F1DxiFfrnXc%2F,Facebook,Social media,2024,-2384.395752,-644.561829,Who benefits socially and economically from energy islands? Is it fair?,True,negative
578,1/13/2025 11:33:19,"Jeg synes jo, at det her energuø-project som man har gang i på bornholm, er rigtig, rigtig spændende. Og jeg kan godt se visionen.",Other,"i find the energy island project on bornholm very, very exciting. i clearly see the vision behind the project and the potential it holds for the future.",6/20/2021,https://www.facebook.com/watch/?v=226000862466979,Facebook,Social media,2021,-3192.0979,-1037.480225,None,True,positive
579,1/13/2025 11:35:51,"Vi kan ikke være mere enige. Hos Rønne Havn håber også at Christer Knudsen kommer med på flere store vindmølleprojekter ude i verden. Men vi håber også, at du er klar næste gang der er vindmøller, der skal udskibes fra Rønne Havn.",Other,rønne havn a/s fully agrees with christer knudsen's opinion that the energy island project on bornholm is very exciting and has a clear vision. rønne havn hopes that christer knudsen will participate in more large wind turbine projects worldwide and also hopes that he will be ready to assist the next time wind turbines need to be shipped out from rønne havn.,6/20/2021,https://www.facebook.com/watch/?v=226000862466979,Facebook,Social media,2021,-2815.171143,-698.876892,None,True,positive
580,1/13/2025 11:36:57,"Der er meget stort potentiale for, at vi nu kan være med til at levere grøn strøm, ikke bare til Danmark, ikke bare til Bornholm, men også til resten af Europa.","Dan Jørgensen, Danish climate minister",the danish “energy island” projects have enormous potential to supply green electricity not only to denmark and bornholm but also to the rest of europe.,6/20/2021,https://www.facebook.com/watch/?v=226000862466979,Facebook,Social media,2021,58.253914,310.693207,None,True,positive
581,1/13/2025 11:37:54,"""Vi kommer ALDRIG til at tjene penge på PTX. Til den tid har kineserne over 13 års reelt forspring. De dumper allerede priserne nu, hvilket gør det sværere for vestligt orienterede producenter. Ørsted tror ikke på det længere, og konkurrencesituationen gør det kun endnu mere umuligt at lave noget bæredygtigt. Vi skal fokusere på den industri vi er konkurrencedygtige i.""",Other,"we will never make money on ptx. by the time we catch up, the chinese will have a real lead of over 13 years. they are already undercutting prices, which makes it harder for producers aligned with the west. ørsted no longer believes in it, and the competitive situation only makes it even more impossible to create anything sustainable. we must focus on the industries where we are competitive.",10/5/2024,https://tv2bornholm.dk/artikel/der-er-stadig-stor-opbakning-til-energioe-bornholm,Facebook,Social media,2024,1449.364258,1322.918335,Are there more cost-effective ways to reach the emissions targets?,True,negative
582,1/13/2025 11:38:17,Ja... helt åndssvagt at man sender billig strøm til udlandet så vi selv må købe strømmen dyrt tilbage fra udlandet... inde på christiansborg er de kun interesseret i at være gode venner med udlandet...,Facebook user,"it is completely ridiculous to send cheap electricity to foreign countries, only for denmark to then buy the electricity back at an expensive price. the politicians at christiansborg are only interested in maintaining good relations with foreign countries, rather than prioritizing the danish people’s needs.",5/23/2024,https://www.facebook.com/MortenMesserschmidt/posts/pfbid0ij3WaT43PAd2dHCXBzXPoYPW2bay3P2uBRwmaNRoskQyZ9cbvw6hvuR82zr9cJKdl,Facebook,Social media,2024,-528.47467,411.277618,Who benefits socially and economically from energy islands? Is it fair?,True,negative
583,1/13/2025 11:39:45,Ikke første gang at der bliver løget og smidt om sig med skatteydernes penge i folketinget. Hvad blev der af de ID kort eller arbejdstilladelse som fremmede arbejdere skulle have på byggepladser ?? Som Mette Frederiksen også gik til valg på. Er der sket noget med det ?? Nej ikke en fis du. Endnu en løgn for galleriet,Facebook user,"the danish government has lied before and misused taxpayers' money, and the ""energy island"" projects are just another example of this behavior. what happened to the promised id cards or work permits for foreign workers on construction sites, which mette frederiksen also campaigned on? absolutely nothing has been done about that. it was just another empty promise for show. this is yet another instance of politicians making false claims to the public.",5/23/2024,https://www.facebook.com/MortenMesserschmidt/posts/pfbid0ij3WaT43PAd2dHCXBzXPoYPW2bay3P2uBRwmaNRoskQyZ9cbvw6hvuR82zr9cJKdl,Facebook,Social media,2024,-495.238678,3.003103,Who benefits socially and economically from energy islands? Is it fair?,True,Negative
584,1/13/2025 11:40:47,"""Vi har for mange klimatosser i det her land som mangler sund fornuft""",Facebook user,there are too many climate fanatics in this country who lack common sense.,5/23/2024,https://www.facebook.com/MortenMesserschmidt/posts/pfbid0ij3WaT43PAd2dHCXBzXPoYPW2bay3P2uBRwmaNRoskQyZ9cbvw6hvuR82zr9cJKdl,Facebook,Social media,2024,142.322708,2378.129395,None,True,Neither
585,1/13/2025 11:41:12,Et nyt offentligt projekt der med garanti ikke kan holde sig inden for budgettet og vil komme til at koste mange mia. ekstra.,Facebook user,"the danish energy island projects are yet another public initiative that is guaranteed to exceed its budget and will end up costing billions more than planned. this makes no sense considering that there was supposedly a need to save money by abolishing the public holiday of store bededag. it seems, however, that there is plenty of money available for foolish projects like this one, even after denmark has already donated billions to ukraine",5/23/2024,https://www.facebook.com/MortenMesserschmidt/posts/pfbid0ij3WaT43PAd2dHCXBzXPoYPW2bay3P2uBRwmaNRoskQyZ9cbvw6hvuR82zr9cJKdl,Facebook,Social media,2024,-129.320969,-48.339237,How to finance the energy islands?,True,Negative
586,1/13/2025 11:42:32,"""Ingen vind ingen strøm
Ingen sol ingen strøm
Ja tak til A KRAFT""",Facebook user,"without wind, there is no electricity.  
without sun, there is no electricity.  
yes, please, to nuclear power.",2/10/2024,https://www.facebook.com/karnfull.dk/posts/-atomkraft-fremfor-energi%C3%B8-bornholm-kan-spare-danskerne-for-mindst-315-milliarde/859376799545270/,Facebook,Social media,2024,2107.005859,1845.246094,Is nuclear power an alternative to energy islands?,True,negative
587,1/13/2025 11:42:40,"Jeg troede vi manglede penge siden store Bededag skulle sløjfes, men der er åbenbart rigeligt når der er råd til tossede projekter som det, også endda efter alle de mia. vi har doneret til Ukraine.",Facebook user,"the danish government has lied before and misused taxpayers' money, and the ""energy island"" projects are just another example of this behavior. what happened to the promised id cards or work permits for foreign workers on construction sites, which mette frederiksen also campaigned on? absolutely nothing has been done about that. it was just another empty promise for show. this is yet another instance of politicians making false claims to the public.",5/23/2024,https://www.facebook.com/MortenMesserschmidt/posts/pfbid0ij3WaT43PAd2dHCXBzXPoYPW2bay3P2uBRwmaNRoskQyZ9cbvw6hvuR82zr9cJKdl,Facebook,Social media,2024,-511.587646,18.664724,Who benefits socially and economically from energy islands? Is it fair?,True,negative
588,1/13/2025 11:43:29,"""Energiø Bornholm giver ikke økonomisk mening at etablere. Det er konklusionen fra analysevirksomheden Kraka.""",Other,establishing energy island bornholm does not make economic sense. that is the conclusion from the analysis firm kraka.,6/21/2024,https://www.facebook.com/groups/6149554153/posts/10161526531074154/,Facebook,Social media,2024,-3008.405029,-1233.889038,Are there more cost-effective ways to reach the emissions targets?,True,negative
